"userid","variant","age","install_source","device_linked","week","hit_streak","claimed_reward","exercise_mins","days_exercised"
270,"Control",13,"organic","Applewatch",2021-03-08,1,0,150,3
270,"Control",13,"organic","Applewatch",2021-03-15,1,0,589,7
270,"Control",13,"organic","Applewatch",2021-03-22,1,0,150,3
646,"Increased Rewards",29,"organic","Garmin",2021-03-01,1,0,150,3
646,"Increased Rewards",29,"organic","Garmin",2021-03-08,1,0,224,4
646,"Increased Rewards",29,"organic","Garmin",2021-03-15,1,0,150,3
646,"Increased Rewards",29,"organic","Garmin",2021-03-22,1,1,223,4
347,"Increased Rewards",37,"referred","Applewatch",2021-03-01,1,0,467,7
347,"Increased Rewards",37,"referred","Applewatch",2021-03-08,1,0,150,3
347,"Increased Rewards",37,"referred","Applewatch",2021-03-15,1,0,325,6
347,"Increased Rewards",37,"referred","Applewatch",2021-03-22,1,0,298,6
129,"Control",39,"referred","Applewatch",2021-03-01,0,0,105,2
129,"Control",39,"referred","Applewatch",2021-03-08,1,0,150,3
129,"Control",39,"referred","Applewatch",2021-03-15,1,1,565,7
129,"Control",39,"referred","Applewatch",2021-03-22,1,0,509,7
218,"Increased Rewards",30,"referred","Applewatch",2021-03-01,1,0,166,3
218,"Increased Rewards",30,"referred","Applewatch",2021-03-08,1,0,150,3
218,"Increased Rewards",30,"referred","Applewatch",2021-03-15,1,0,150,3
218,"Increased Rewards",30,"referred","Applewatch",2021-03-22,1,0,292,6
618,"Control",23,"referred","Applewatch",2021-03-01,1,0,324,6
618,"Control",23,"referred","Applewatch",2021-03-08,1,0,648,7
618,"Control",23,"referred","Applewatch",2021-03-15,1,0,194,4
618,"Control",23,"referred","Applewatch",2021-03-22,1,0,503,7
698,"Increased Rewards",60,"referred","Applewatch",2021-03-01,1,0,405,7
698,"Increased Rewards",60,"referred","Applewatch",2021-03-08,1,0,279,6
698,"Increased Rewards",60,"referred","Applewatch",2021-03-15,1,0,218,4
698,"Increased Rewards",60,"referred","Applewatch",2021-03-22,1,0,150,3
337,"Control",36,"organic","FitBit",2021-03-01,0,0,0,0
337,"Control",36,"organic","FitBit",2021-03-08,1,1,444,7
337,"Control",36,"organic","FitBit",2021-03-15,1,0,735,7
337,"Control",36,"organic","FitBit",2021-03-22,1,0,488,7
976,"Increased Rewards",42,"referred","Applewatch",2021-03-01,1,1,392,7
976,"Increased Rewards",42,"referred","Applewatch",2021-03-08,1,0,150,3
976,"Increased Rewards",42,"referred","Applewatch",2021-03-15,0,0,140,3
976,"Increased Rewards",42,"referred","Applewatch",2021-03-22,1,0,401,7
539,"Increased Rewards",25,"referred","Applewatch",2021-03-01,1,0,258,5
539,"Increased Rewards",25,"referred","Applewatch",2021-03-08,1,0,534,7
539,"Increased Rewards",25,"referred","Applewatch",2021-03-15,1,0,604,7
539,"Increased Rewards",25,"referred","Applewatch",2021-03-22,1,0,327,7
975,"Increased Rewards",28,"organic","Applewatch",2021-03-01,1,1,426,7
975,"Increased Rewards",28,"organic","Applewatch",2021-03-08,1,0,470,7
975,"Increased Rewards",28,"organic","Applewatch",2021-03-15,1,0,505,7
975,"Increased Rewards",28,"organic","Applewatch",2021-03-22,1,0,534,7
861,"Control",33,"organic","FitBit",2021-03-01,1,1,555,7
861,"Control",33,"organic","FitBit",2021-03-08,1,1,315,6
861,"Control",33,"organic","FitBit",2021-03-15,1,0,538,7
861,"Control",33,"organic","FitBit",2021-03-22,1,0,257,5
553,"Control",45,"paid_ad","Applewatch",2021-03-01,0,0,131,3
553,"Control",45,"paid_ad","Applewatch",2021-03-08,0,0,132,3
553,"Control",45,"paid_ad","Applewatch",2021-03-15,1,0,150,3
553,"Control",45,"paid_ad","Applewatch",2021-03-22,0,0,0,0
724,"Increased Rewards",26,"referred","Applewatch",2021-03-01,1,0,291,6
724,"Increased Rewards",26,"referred","Applewatch",2021-03-08,1,1,373,7
724,"Increased Rewards",26,"referred","Applewatch",2021-03-15,1,0,485,7
724,"Increased Rewards",26,"referred","Applewatch",2021-03-22,1,0,150,3
390,"Increased Rewards",37,"referred","Applewatch",2021-03-01,1,0,538,7
390,"Increased Rewards",37,"referred","Applewatch",2021-03-08,0,0,68,1
390,"Increased Rewards",37,"referred","Applewatch",2021-03-15,0,0,2,0
390,"Increased Rewards",37,"referred","Applewatch",2021-03-22,1,0,376,7
498,"Increased Rewards",8,"referred","Applewatch",2021-03-01,1,0,150,3
498,"Increased Rewards",8,"referred","Applewatch",2021-03-08,1,0,150,3
498,"Increased Rewards",8,"referred","Applewatch",2021-03-15,1,0,313,6
498,"Increased Rewards",8,"referred","Applewatch",2021-03-22,0,0,141,3
222,"Increased Rewards",24,"referred","Applewatch",2021-03-01,1,1,401,7
222,"Increased Rewards",24,"referred","Applewatch",2021-03-08,1,1,535,7
222,"Increased Rewards",24,"referred","Applewatch",2021-03-15,0,0,191,4
222,"Increased Rewards",24,"referred","Applewatch",2021-03-22,1,0,477,7
899,"Increased Rewards",16,"referred","Applewatch",2021-03-01,1,0,257,5
899,"Increased Rewards",16,"referred","Applewatch",2021-03-08,1,0,470,7
899,"Increased Rewards",16,"referred","Applewatch",2021-03-15,1,0,404,7
899,"Increased Rewards",16,"referred","Applewatch",2021-03-22,1,0,783,7
657,"Increased Rewards",39,"organic","Applewatch",2021-03-01,1,1,193,4
657,"Increased Rewards",39,"organic","Applewatch",2021-03-08,1,0,439,7
657,"Increased Rewards",39,"organic","Applewatch",2021-03-15,1,1,299,6
657,"Increased Rewards",39,"organic","Applewatch",2021-03-22,1,0,150,3
421,"Increased Rewards",27,"organic","Applewatch",2021-03-01,0,0,93,2
421,"Increased Rewards",27,"organic","Applewatch",2021-03-08,1,0,351,7
421,"Increased Rewards",27,"organic","Applewatch",2021-03-15,1,1,169,3
421,"Increased Rewards",27,"organic","Applewatch",2021-03-22,1,0,482,7
762,"Increased Rewards",25,"organic","Garmin",2021-03-01,1,0,347,7
762,"Increased Rewards",25,"organic","Garmin",2021-03-08,1,0,150,3
762,"Increased Rewards",25,"organic","Garmin",2021-03-15,1,0,252,5
762,"Increased Rewards",25,"organic","Garmin",2021-03-22,1,1,562,7
660,"Increased Rewards",42,"organic","Applewatch",2021-03-01,0,0,80,2
660,"Increased Rewards",42,"organic","Applewatch",2021-03-08,1,0,179,4
660,"Increased Rewards",42,"organic","Applewatch",2021-03-15,1,0,225,4
660,"Increased Rewards",42,"organic","Applewatch",2021-03-22,1,0,515,7
163,"Control",39,"referred","Applewatch",2021-03-01,0,0,26,1
163,"Control",39,"referred","Applewatch",2021-03-08,1,0,415,7
163,"Control",39,"referred","Applewatch",2021-03-15,1,0,223,4
163,"Control",39,"referred","Applewatch",2021-03-22,1,0,795,7
846,"Increased Rewards",20,"referred","Applewatch",2021-03-01,1,0,478,7
846,"Increased Rewards",20,"referred","Applewatch",2021-03-08,1,1,426,7
846,"Increased Rewards",20,"referred","Applewatch",2021-03-15,1,0,482,7
846,"Increased Rewards",20,"referred","Applewatch",2021-03-22,1,0,242,5
673,"Control",33,"organic","Garmin",2021-03-01,1,0,520,7
673,"Control",33,"organic","Garmin",2021-03-08,1,0,324,6
673,"Control",33,"organic","Garmin",2021-03-15,1,0,333,7
673,"Control",33,"organic","Garmin",2021-03-22,1,0,454,7
578,"Increased Rewards",17,"organic","Applewatch",2021-03-01,1,0,612,7
578,"Increased Rewards",17,"organic","Applewatch",2021-03-08,1,0,400,7
578,"Increased Rewards",17,"organic","Applewatch",2021-03-15,1,0,760,7
578,"Increased Rewards",17,"organic","Applewatch",2021-03-22,1,0,283,6
913,"Increased Rewards",24,"referred","Applewatch",2021-03-01,1,1,216,4
913,"Increased Rewards",24,"referred","Applewatch",2021-03-08,1,0,255,5
913,"Increased Rewards",24,"referred","Applewatch",2021-03-15,0,0,83,2
913,"Increased Rewards",24,"referred","Applewatch",2021-03-22,1,0,668,7
878,"Increased Rewards",44,"organic","Applewatch",2021-03-01,1,0,488,7
878,"Increased Rewards",44,"organic","Applewatch",2021-03-08,1,0,150,3
878,"Increased Rewards",44,"organic","Applewatch",2021-03-15,1,1,443,7
878,"Increased Rewards",44,"organic","Applewatch",2021-03-22,1,1,732,7
225,"Increased Rewards",43,"referred","FitBit",2021-03-01,1,1,473,7
225,"Increased Rewards",43,"referred","FitBit",2021-03-08,1,1,475,7
225,"Increased Rewards",43,"referred","FitBit",2021-03-15,1,0,348,7
225,"Increased Rewards",43,"referred","FitBit",2021-03-22,1,1,150,3
389,"Control",39,"referred","Applewatch",2021-03-01,0,0,62,1
389,"Control",39,"referred","Applewatch",2021-03-08,0,0,91,2
389,"Control",39,"referred","Applewatch",2021-03-15,1,0,606,7
389,"Control",39,"referred","Applewatch",2021-03-22,1,0,489,7
117,"Increased Rewards",23,"referred","FitBit",2021-03-01,1,0,617,7
117,"Increased Rewards",23,"referred","FitBit",2021-03-08,1,0,150,3
117,"Increased Rewards",23,"referred","FitBit",2021-03-15,1,0,465,7
117,"Increased Rewards",23,"referred","FitBit",2021-03-22,1,0,340,7
771,"Increased Rewards",11,"referred","FitBit",2021-03-01,1,0,452,7
771,"Increased Rewards",11,"referred","FitBit",2021-03-08,1,0,320,6
771,"Increased Rewards",11,"referred","FitBit",2021-03-15,1,1,411,7
771,"Increased Rewards",11,"referred","FitBit",2021-03-22,1,0,474,7
885,"Control",17,"referred","Applewatch",2021-03-01,1,0,150,3
885,"Control",17,"referred","Applewatch",2021-03-08,1,1,624,7
885,"Control",17,"referred","Applewatch",2021-03-15,1,0,545,7
885,"Control",17,"referred","Applewatch",2021-03-22,0,0,143,3
55,"Increased Rewards",38,"organic","Applewatch",2021-03-01,1,0,595,7
55,"Increased Rewards",38,"organic","Applewatch",2021-03-08,1,0,206,4
55,"Increased Rewards",38,"organic","Applewatch",2021-03-15,1,0,510,7
55,"Increased Rewards",38,"organic","Applewatch",2021-03-22,1,0,304,6
947,"Control",26,"referred","Applewatch",2021-03-01,0,0,235,5
947,"Control",26,"referred","Applewatch",2021-03-08,1,0,570,7
947,"Control",26,"referred","Applewatch",2021-03-15,1,0,423,7
947,"Control",26,"referred","Applewatch",2021-03-22,1,0,150,3
811,"Increased Rewards",8,"paid_ad","FitBit",2021-03-01,1,0,152,3
811,"Increased Rewards",8,"paid_ad","FitBit",2021-03-08,1,0,222,4
811,"Increased Rewards",8,"paid_ad","FitBit",2021-03-15,1,0,797,7
811,"Increased Rewards",8,"paid_ad","FitBit",2021-03-22,1,1,378,7
557,"Control",27,"organic","Applewatch",2021-03-01,0,0,222,4
557,"Control",27,"organic","Applewatch",2021-03-08,1,0,473,7
557,"Control",27,"organic","Applewatch",2021-03-15,0,0,142,3
557,"Control",27,"organic","Applewatch",2021-03-22,1,1,344,7
658,"Control",42,"referred","Applewatch",2021-03-01,1,0,150,3
658,"Control",42,"referred","Applewatch",2021-03-08,0,0,0,0
658,"Control",42,"referred","Applewatch",2021-03-15,0,0,219,4
658,"Control",42,"referred","Applewatch",2021-03-22,0,0,0,0
682,"Control",35,"organic","Applewatch",2021-03-01,1,0,456,7
682,"Control",35,"organic","Applewatch",2021-03-08,1,0,434,7
682,"Control",35,"organic","Applewatch",2021-03-15,1,0,355,7
682,"Control",35,"organic","Applewatch",2021-03-22,0,0,75,2
1000,"Control",21,"referred","Applewatch",2021-03-01,1,0,150,3
1000,"Control",21,"referred","Applewatch",2021-03-08,1,0,150,3
1000,"Control",21,"referred","Applewatch",2021-03-15,0,0,124,2
1000,"Control",21,"referred","Applewatch",2021-03-22,1,0,150,3
134,"Increased Rewards",14,"referred","Applewatch",2021-03-01,1,0,248,5
134,"Increased Rewards",14,"referred","Applewatch",2021-03-08,1,0,150,3
134,"Increased Rewards",14,"referred","Applewatch",2021-03-15,1,0,659,7
134,"Increased Rewards",14,"referred","Applewatch",2021-03-22,1,0,584,7
891,"Control",21,"referred","Applewatch",2021-03-01,1,0,150,3
891,"Control",21,"referred","Applewatch",2021-03-08,1,1,471,7
891,"Control",21,"referred","Applewatch",2021-03-15,1,0,254,5
891,"Control",21,"referred","Applewatch",2021-03-22,0,0,0,0
688,"Increased Rewards",29,"organic","Applewatch",2021-03-01,1,0,150,3
688,"Increased Rewards",29,"organic","Applewatch",2021-03-08,1,0,373,7
688,"Increased Rewards",29,"organic","Applewatch",2021-03-15,1,1,358,7
688,"Increased Rewards",29,"organic","Applewatch",2021-03-22,1,0,150,3
447,"Increased Rewards",37,"organic","Applewatch",2021-03-01,1,0,561,7
447,"Increased Rewards",37,"organic","Applewatch",2021-03-08,1,0,436,7
447,"Increased Rewards",37,"organic","Applewatch",2021-03-15,1,0,341,7
447,"Increased Rewards",37,"organic","Applewatch",2021-03-22,1,1,431,7
104,"Control",10,"referred","Applewatch",2021-03-01,1,0,239,5
104,"Control",10,"referred","Applewatch",2021-03-08,1,0,247,5
104,"Control",10,"referred","Applewatch",2021-03-15,0,0,0,0
104,"Control",10,"referred","Applewatch",2021-03-22,0,0,192,4
716,"Control",38,"referred","Applewatch",2021-03-01,1,1,749,7
716,"Control",38,"referred","Applewatch",2021-03-08,1,0,207,4
716,"Control",38,"referred","Applewatch",2021-03-15,1,1,319,6
716,"Control",38,"referred","Applewatch",2021-03-22,1,0,524,7
845,"Control",29,"referred","Applewatch",2021-03-01,0,0,15,0
845,"Control",29,"referred","Applewatch",2021-03-08,1,0,378,7
845,"Control",29,"referred","Applewatch",2021-03-15,1,1,150,3
845,"Control",29,"referred","Applewatch",2021-03-22,1,0,200,4
210,"Increased Rewards",34,"referred","FitBit",2021-03-01,1,0,310,6
210,"Increased Rewards",34,"referred","FitBit",2021-03-08,0,0,0,0
210,"Increased Rewards",34,"referred","FitBit",2021-03-15,1,1,489,7
210,"Increased Rewards",34,"referred","FitBit",2021-03-22,1,0,210,4
349,"Control",13,"referred","Garmin",2021-03-01,1,0,344,7
349,"Control",13,"referred","Garmin",2021-03-08,0,0,0,0
349,"Control",13,"referred","Garmin",2021-03-15,1,0,361,7
349,"Control",13,"referred","Garmin",2021-03-22,1,0,711,7
401,"Control",22,"organic","Applewatch",2021-03-01,1,0,199,4
401,"Control",22,"organic","Applewatch",2021-03-08,0,0,39,1
401,"Control",22,"organic","Applewatch",2021-03-15,1,0,515,7
401,"Control",22,"organic","Applewatch",2021-03-22,1,0,434,7
258,"Control",24,"organic","Applewatch",2021-03-01,1,0,380,7
258,"Control",24,"organic","Applewatch",2021-03-08,1,0,770,7
258,"Control",24,"organic","Applewatch",2021-03-15,1,0,491,7
258,"Control",24,"organic","Applewatch",2021-03-22,1,0,150,3
915,"Increased Rewards",39,"referred","Applewatch",2021-03-01,1,0,338,7
915,"Increased Rewards",39,"referred","Applewatch",2021-03-08,1,0,424,7
915,"Increased Rewards",39,"referred","Applewatch",2021-03-15,1,1,150,3
915,"Increased Rewards",39,"referred","Applewatch",2021-03-22,1,0,150,3
386,"Increased Rewards",38,"referred","Applewatch",2021-03-01,1,0,455,7
386,"Increased Rewards",38,"referred","Applewatch",2021-03-08,1,0,769,7
386,"Increased Rewards",38,"referred","Applewatch",2021-03-15,1,0,190,4
386,"Increased Rewards",38,"referred","Applewatch",2021-03-22,1,0,451,7
941,"Increased Rewards",33,"paid_ad","Applewatch",2021-03-01,0,0,27,1
941,"Increased Rewards",33,"paid_ad","Applewatch",2021-03-08,1,0,645,7
941,"Increased Rewards",33,"paid_ad","Applewatch",2021-03-15,1,0,150,3
941,"Increased Rewards",33,"paid_ad","Applewatch",2021-03-22,1,0,150,3
24,"Control",44,"referred","Applewatch",2021-03-01,0,0,51,1
24,"Control",44,"referred","Applewatch",2021-03-08,1,0,453,7
24,"Control",44,"referred","Applewatch",2021-03-15,1,0,413,7
24,"Control",44,"referred","Applewatch",2021-03-22,1,0,687,7
466,"Increased Rewards",24,"referred","Applewatch",2021-03-01,1,0,466,7
466,"Increased Rewards",24,"referred","Applewatch",2021-03-08,1,1,394,7
466,"Increased Rewards",24,"referred","Applewatch",2021-03-15,1,1,478,7
466,"Increased Rewards",24,"referred","Applewatch",2021-03-22,1,0,334,7
130,"Control",38,"referred","Applewatch",2021-03-01,1,1,173,3
130,"Control",38,"referred","Applewatch",2021-03-08,1,1,480,7
130,"Control",38,"referred","Applewatch",2021-03-15,1,0,373,7
130,"Control",38,"referred","Applewatch",2021-03-22,1,0,580,7
886,"Increased Rewards",28,"organic","Applewatch",2021-03-01,1,0,320,6
886,"Increased Rewards",28,"organic","Applewatch",2021-03-08,1,1,150,3
886,"Increased Rewards",28,"organic","Applewatch",2021-03-15,1,1,325,6
886,"Increased Rewards",28,"organic","Applewatch",2021-03-22,1,0,287,6
943,"Increased Rewards",22,"referred","Applewatch",2021-03-01,1,0,701,7
943,"Increased Rewards",22,"referred","Applewatch",2021-03-08,1,0,193,4
943,"Increased Rewards",22,"referred","Applewatch",2021-03-15,1,0,150,3
943,"Increased Rewards",22,"referred","Applewatch",2021-03-22,1,0,669,7
377,"Increased Rewards",37,"referred","Applewatch",2021-03-01,1,0,514,7
377,"Increased Rewards",37,"referred","Applewatch",2021-03-08,1,1,527,7
377,"Increased Rewards",37,"referred","Applewatch",2021-03-15,1,0,589,7
377,"Increased Rewards",37,"referred","Applewatch",2021-03-22,1,0,274,5
170,"Increased Rewards",42,"organic","Applewatch",2021-03-01,1,0,150,3
170,"Increased Rewards",42,"organic","Applewatch",2021-03-08,1,0,366,7
170,"Increased Rewards",42,"organic","Applewatch",2021-03-15,1,0,150,3
170,"Increased Rewards",42,"organic","Applewatch",2021-03-22,1,0,202,4
445,"Control",37,"referred","FitBit",2021-03-01,1,0,150,3
445,"Control",37,"referred","FitBit",2021-03-08,0,0,148,3
445,"Control",37,"referred","FitBit",2021-03-15,1,0,772,7
445,"Control",37,"referred","FitBit",2021-03-22,1,0,534,7
234,"Control",24,"referred","Applewatch",2021-03-01,1,0,150,3
234,"Control",24,"referred","Applewatch",2021-03-08,1,0,184,4
234,"Control",24,"referred","Applewatch",2021-03-15,0,0,148,3
234,"Control",24,"referred","Applewatch",2021-03-22,1,1,150,3
422,"Control",24,"referred","Applewatch",2021-03-01,0,0,19,0
422,"Control",24,"referred","Applewatch",2021-03-08,0,0,93,2
422,"Control",24,"referred","Applewatch",2021-03-15,1,0,716,7
422,"Control",24,"referred","Applewatch",2021-03-22,1,1,150,3
508,"Control",42,"referred","Applewatch",2021-03-01,0,0,163,3
508,"Control",42,"referred","Applewatch",2021-03-08,1,0,353,7
508,"Control",42,"referred","Applewatch",2021-03-15,1,0,394,7
508,"Control",42,"referred","Applewatch",2021-03-22,1,0,645,7
910,"Increased Rewards",32,"referred","Applewatch",2021-03-01,0,0,119,2
910,"Increased Rewards",32,"referred","Applewatch",2021-03-08,1,1,227,5
910,"Increased Rewards",32,"referred","Applewatch",2021-03-15,1,1,231,5
910,"Increased Rewards",32,"referred","Applewatch",2021-03-22,1,0,768,7
80,"Increased Rewards",37,"organic","Applewatch",2021-03-01,1,0,150,3
80,"Increased Rewards",37,"organic","Applewatch",2021-03-08,0,0,81,2
80,"Increased Rewards",37,"organic","Applewatch",2021-03-15,1,0,529,7
80,"Increased Rewards",37,"organic","Applewatch",2021-03-22,1,0,269,5
894,"Control",25,"referred","FitBit",2021-03-01,1,0,305,6
894,"Control",25,"referred","FitBit",2021-03-08,0,0,29,1
894,"Control",25,"referred","FitBit",2021-03-15,0,0,130,3
894,"Control",25,"referred","FitBit",2021-03-22,1,0,378,7
548,"Control",41,"referred","Applewatch",2021-03-01,0,0,59,1
548,"Control",41,"referred","Applewatch",2021-03-08,0,0,34,1
548,"Control",41,"referred","Applewatch",2021-03-15,1,0,631,7
548,"Control",41,"referred","Applewatch",2021-03-22,1,0,460,7
475,"Increased Rewards",21,"referred","Applewatch",2021-03-01,1,1,150,3
475,"Increased Rewards",21,"referred","Applewatch",2021-03-08,1,1,625,7
475,"Increased Rewards",21,"referred","Applewatch",2021-03-15,1,0,316,6
475,"Increased Rewards",21,"referred","Applewatch",2021-03-22,1,0,310,6
903,"Increased Rewards",35,"referred","Applewatch",2021-03-01,1,0,150,3
903,"Increased Rewards",35,"referred","Applewatch",2021-03-08,1,0,444,7
903,"Increased Rewards",35,"referred","Applewatch",2021-03-15,1,0,289,6
903,"Increased Rewards",35,"referred","Applewatch",2021-03-22,1,0,334,7
343,"Increased Rewards",21,"paid_ad","Applewatch",2021-03-01,1,1,945,7
343,"Increased Rewards",21,"paid_ad","Applewatch",2021-03-08,1,0,429,7
343,"Increased Rewards",21,"paid_ad","Applewatch",2021-03-15,1,0,619,7
343,"Increased Rewards",21,"paid_ad","Applewatch",2021-03-22,1,0,155,3
323,"Control",5,"organic","Applewatch",2021-03-01,1,0,695,7
323,"Control",5,"organic","Applewatch",2021-03-08,1,0,586,7
323,"Control",5,"organic","Applewatch",2021-03-15,0,0,0,0
323,"Control",5,"organic","Applewatch",2021-03-22,1,0,784,7
479,"Increased Rewards",16,"referred","Applewatch",2021-03-01,1,0,385,7
479,"Increased Rewards",16,"referred","Applewatch",2021-03-08,1,1,870,7
479,"Increased Rewards",16,"referred","Applewatch",2021-03-15,0,0,0,0
479,"Increased Rewards",16,"referred","Applewatch",2021-03-22,1,0,219,4
838,"Control",30,"referred","Applewatch",2021-03-01,1,0,342,7
838,"Control",30,"referred","Applewatch",2021-03-08,0,0,105,2
838,"Control",30,"referred","Applewatch",2021-03-15,1,0,340,7
838,"Control",30,"referred","Applewatch",2021-03-22,1,0,263,5
450,"Increased Rewards",37,"referred","Applewatch",2021-03-01,1,0,435,7
450,"Increased Rewards",37,"referred","Applewatch",2021-03-08,1,1,560,7
450,"Increased Rewards",37,"referred","Applewatch",2021-03-15,1,1,509,7
450,"Increased Rewards",37,"referred","Applewatch",2021-03-22,1,0,162,3
111,"Control",12,"referred","Applewatch",2021-03-01,1,0,870,7
111,"Control",12,"referred","Applewatch",2021-03-08,1,0,191,4
111,"Control",12,"referred","Applewatch",2021-03-15,1,0,506,7
111,"Control",12,"referred","Applewatch",2021-03-22,1,0,223,4
317,"Increased Rewards",17,"referred","Applewatch",2021-03-01,1,1,444,7
317,"Increased Rewards",17,"referred","Applewatch",2021-03-08,1,0,201,4
317,"Increased Rewards",17,"referred","Applewatch",2021-03-15,1,1,481,7
317,"Increased Rewards",17,"referred","Applewatch",2021-03-22,1,0,483,7
741,"Control",46,"referred","Applewatch",2021-03-01,1,0,486,7
741,"Control",46,"referred","Applewatch",2021-03-08,1,0,453,7
741,"Control",46,"referred","Applewatch",2021-03-15,0,0,31,1
741,"Control",46,"referred","Applewatch",2021-03-22,1,0,523,7
287,"Control",24,"referred","Applewatch",2021-03-01,1,0,235,5
287,"Control",24,"referred","Applewatch",2021-03-08,1,0,360,7
287,"Control",24,"referred","Applewatch",2021-03-15,1,0,192,4
287,"Control",24,"referred","Applewatch",2021-03-22,1,1,459,7
585,"Increased Rewards",33,"referred","Applewatch",2021-03-01,1,1,359,7
585,"Increased Rewards",33,"referred","Applewatch",2021-03-08,1,0,252,5
585,"Increased Rewards",33,"referred","Applewatch",2021-03-15,1,1,704,7
585,"Increased Rewards",33,"referred","Applewatch",2021-03-22,1,0,369,7
292,"Control",24,"referred","Applewatch",2021-03-01,0,0,6,0
292,"Control",24,"referred","Applewatch",2021-03-08,1,0,354,7
292,"Control",24,"referred","Applewatch",2021-03-15,1,1,319,6
292,"Control",24,"referred","Applewatch",2021-03-22,0,0,1,0
226,"Control",26,"referred","Applewatch",2021-03-01,0,0,17,0
226,"Control",26,"referred","Applewatch",2021-03-08,1,0,150,3
226,"Control",26,"referred","Applewatch",2021-03-15,1,0,473,7
226,"Control",26,"referred","Applewatch",2021-03-22,1,0,187,4
297,"Increased Rewards",29,"referred","Applewatch",2021-03-01,0,0,153,3
297,"Increased Rewards",29,"referred","Applewatch",2021-03-08,1,0,255,5
297,"Increased Rewards",29,"referred","Applewatch",2021-03-15,1,0,150,3
297,"Increased Rewards",29,"referred","Applewatch",2021-03-22,1,0,309,6
605,"Control",29,"referred","Applewatch",2021-03-01,1,0,194,4
605,"Control",29,"referred","Applewatch",2021-03-08,1,0,361,7
605,"Control",29,"referred","Applewatch",2021-03-15,1,1,182,4
605,"Control",29,"referred","Applewatch",2021-03-22,1,0,465,7
637,"Control",27,"referred","FitBit",2021-03-01,1,0,499,7
637,"Control",27,"referred","FitBit",2021-03-08,1,0,358,7
637,"Control",27,"referred","FitBit",2021-03-15,1,1,565,7
637,"Control",27,"referred","FitBit",2021-03-22,1,0,433,7
834,"Control",24,"referred","Applewatch",2021-03-01,1,0,150,3
834,"Control",24,"referred","Applewatch",2021-03-08,1,0,518,7
834,"Control",24,"referred","Applewatch",2021-03-15,1,1,480,7
834,"Control",24,"referred","Applewatch",2021-03-22,1,0,306,6
237,"Control",-1,"referred","Applewatch",2021-03-01,0,0,195,4
237,"Control",-1,"referred","Applewatch",2021-03-08,1,0,635,7
237,"Control",-1,"referred","Applewatch",2021-03-15,0,0,44,1
237,"Control",-1,"referred","Applewatch",2021-03-22,1,0,250,5
700,"Increased Rewards",47,"organic","Applewatch",2021-03-01,1,0,369,7
700,"Increased Rewards",47,"organic","Applewatch",2021-03-08,1,1,438,7
700,"Increased Rewards",47,"organic","Applewatch",2021-03-15,1,0,689,7
700,"Increased Rewards",47,"organic","Applewatch",2021-03-22,1,0,407,7
809,"Increased Rewards",46,"organic","Applewatch",2021-03-01,1,0,564,7
809,"Increased Rewards",46,"organic","Applewatch",2021-03-08,1,1,900,7
809,"Increased Rewards",46,"organic","Applewatch",2021-03-15,1,1,352,7
809,"Increased Rewards",46,"organic","Applewatch",2021-03-22,1,1,435,7
33,"Control",18,"referred","Applewatch",2021-03-01,1,0,466,7
33,"Control",18,"referred","Applewatch",2021-03-08,1,0,560,7
33,"Control",18,"referred","Applewatch",2021-03-15,0,0,87,2
33,"Control",18,"referred","Applewatch",2021-03-22,1,0,244,5
836,"Increased Rewards",27,"paid_ad","Applewatch",2021-03-01,1,0,265,5
836,"Increased Rewards",27,"paid_ad","Applewatch",2021-03-08,1,0,422,7
836,"Increased Rewards",27,"paid_ad","Applewatch",2021-03-15,1,0,690,7
836,"Increased Rewards",27,"paid_ad","Applewatch",2021-03-22,1,0,486,7
396,"Increased Rewards",42,"organic","Applewatch",2021-03-01,1,0,584,7
396,"Increased Rewards",42,"organic","Applewatch",2021-03-08,0,0,13,0
396,"Increased Rewards",42,"organic","Applewatch",2021-03-15,1,0,404,7
396,"Increased Rewards",42,"organic","Applewatch",2021-03-22,1,0,806,7
935,"Increased Rewards",38,"referred","Applewatch",2021-03-01,1,1,150,3
935,"Increased Rewards",38,"referred","Applewatch",2021-03-08,1,0,403,7
935,"Increased Rewards",38,"referred","Applewatch",2021-03-15,1,0,500,7
935,"Increased Rewards",38,"referred","Applewatch",2021-03-22,1,0,256,5
917,"Increased Rewards",41,"paid_ad","Applewatch",2021-03-01,1,0,301,6
917,"Increased Rewards",41,"paid_ad","Applewatch",2021-03-08,1,0,340,7
917,"Increased Rewards",41,"paid_ad","Applewatch",2021-03-15,1,1,576,7
917,"Increased Rewards",41,"paid_ad","Applewatch",2021-03-22,1,0,150,3
76,"Increased Rewards",18,"referred","Applewatch",2021-03-01,1,0,514,7
76,"Increased Rewards",18,"referred","Applewatch",2021-03-08,1,0,303,6
76,"Increased Rewards",18,"referred","Applewatch",2021-03-15,1,0,429,7
76,"Increased Rewards",18,"referred","Applewatch",2021-03-22,1,0,163,3
94,"Increased Rewards",53,"referred","Applewatch",2021-03-01,1,1,624,7
94,"Increased Rewards",53,"referred","Applewatch",2021-03-08,1,0,180,4
94,"Increased Rewards",53,"referred","Applewatch",2021-03-15,0,0,90,2
94,"Increased Rewards",53,"referred","Applewatch",2021-03-22,1,0,442,7
30,"Increased Rewards",18,"referred","Applewatch",2021-03-01,1,0,201,4
